vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount,pickup_location_id,dropoff_location_id
1,2/21/18 13:59,2/21/18 14:16,1,8.7,1,N,1,25.5,0.00E+00,0.5,6.4,5.76,0.3,38.46,138,233
2,2/21/18 12:59,2/21/18 13:24,2,10.23,1,N,1,30,0.00E+00,0.5,7.27,5.54,0.3,43.61,262,138
2,2/21/18 13:42,2/21/18 14:08,1,10.14,1,N,1,31,0.00E+00,0.5,7,5.76,0.3,44.56,138,162
1,2/21/18 14:45,2/21/18 15:13,1,6.7,1,N,1,24,0.00E+00,0.5,6.1,5.76,0.3,36.66,144,133
2,2/21/18 14:42,2/21/18 15:05,1,9.82,1,N,1,30.5,0.00E+00,0.5,4.7,0.00E+00,0.3,36,100,127
2,2/21/18 15:55,2/21/18 16:42,5,13.64,1,N,1,44.5,0.00E+00,0.5,10.21,5.76,0.3,61.27,138,230
2,12/4/18 14:46,12/4/18 15:15,1,5.24,1,N,1,24,0.00E+00,0.5,6.2,0.00E+00,0.3,31,229,87
1,12/4/18 14:19,12/4/18 15:08,1,17.6,3,N,1,73.5,0.00E+00,0.00E+00,16.85,10.5,0.3,101.15,264,264
1,12/4/18 15:47,12/4/18 16:22,1,5.7,1,N,1,24.5,0.00E+00,0.5,5.05,0.00E+00,0.3,30.35,264,264
1,12/4/18 15:04,12/4/18 16:12,1,9.5,1,N,1,47,0.00E+00,0.5,9.55,0.00E+00,0.3,57.35,264,264
2,12/4/18 15:39,12/4/18 16:26,6,6.05,1,N,1,30,0.00E+00,0.5,9.24,0.00E+00,0.3,40.04,114,249
1,12/4/18 16:41,12/4/18 17:53,3,12.5,1,N,1,50,1,0.5,12.9,0.00E+00,0.3,64.7,231,138
1,12/4/18 16:03,12/4/18 16:37,1,7.2,1,N,1,26,1,0.5,5.55,0.00E+00,0.3,33.35,161,66
